temp,humid,co2,voc,pm25
20.03,28.98,516,293,0
20.01,29.0,515,313,0
20.03,28.98,517,317,1
19.93,29.14,513,305,1
20.0,29.01,516,301,0
20.04,29.03,515,295,1
19.98,29.19,514,286,1
20.0,29.17,510,294,0
20.05,29.15,512,282,1
20.01,29.19,511,286,1
20.04,29.56,516,290,0
20.01,29.43,514,267,1
20.05,29.41,518,285,0
20.03,29.62,520,272,0
20.05,29.8,518,267,0
20.05,29.48,533,298,0
20.01,29.44,534,285,1
20.03,29.23,535,274,1
20.04,29.11,531,267,1
20.03,29.14,521,263,1
20.03,28.97,516,249,0
20.03,28.79,512,241,0
20.04,28.75,507,236,0
19.94,28.85,499,225,1
20.04,28.72,493,218,0
20.05,28.59,489,202,0
20.05,28.56,487,204,0
20.07,28.54,483,191,0
20.07,28.52,479,188,0
20.05,28.36,480,185,2
20.03,28.5,472,182,1
20.01,28.49,470,178,1
20.07,28.45,468,178,1
20.07,28.45,460,169,0
20.03,28.51,456,171,0
20.05,28.38,460,170,0
20.05,28.26,463,166,0
20.05,28.13,455,165,1
20.05,28.01,459,154,1
20.03,28.07,456,153,1
20.08,27.99,451,156,1
20.01,28.15,451,147,1
20.01,28.12,452,157,1
20.0,28.05,449,152,2
20.01,28.19,450,145,1
19.98,28.28,445,145,1
19.95,28.18,445,143,1
19.95,28.33,444,143,1
19.94,28.1,443,150,1
19.93,28.11,443,143,1
19.94,28.03,444,148,1
20.0,28.3,449,144,1
19.95,28.58,453,146,1
19.98,28.59,453,152,2
19.94,28.59,461,152,1
19.95,28.58,463,150,2
19.93,28.25,458,145,1
19.97,28.8,456,152,3
20.01,29.18,449,155,2
20.03,29.3,453,153,3
19.95,28.61,452,149,3
19.95,27.82,453,145,3
19.85,27.98,448,144,2
19.9,27.67,444,138,2
19.91,27.65,444,131,2
19.84,27.55,438,136,2
19.85,27.5,431,135,2
19.76,27.74,428,130,2
19.78,27.04,425,128,3
19.76,27.22,422,125,2
19.76,26.86,425,125,3
19.73,27.42,414,129,2
19.77,26.74,412,121,2
19.7,26.65,411,119,2
19.76,26.35,414,111,3
19.66,26.66,412,118,2
19.67,26.77,409,117,2
19.64,26.49,408,113,2
19.6,26.35,407,116,3
19.64,26.36,407,115,1
19.63,26.59,401,117,2
19.63,26.37,400,114,2
19.66,26.19,400,113,3
19.6,26.04,400,118,3
19.64,26.2,400,118,2
19.69,25.96,401,111,2
19.61,25.84,400,115,2
19.59,25.93,400,117,2
19.61,25.86,400,114,2
19.63,25.82,400,113,1
19.48,26.1,400,116,2
19.6,26.05,400,117,2
19.57,26.67,406,111,2
19.53,26.64,421,131,1
19.6,26.79,425,127,2
19.43,28.19,424,125,3
19.6,27.11,431,134,2
19.67,27.19,434,137,2
19.67,27.39,437,137,2
19.67,27.47,444,139,2
19.66,28.04,446,137,2
19.73,27.79,454,146,6
19.78,28.36,458,157,17
19.74,29.09,465,158,21
19.78,28.89,469,164,22
19.8,30.25,478,160,17
19.84,29.61,477,168,15
19.88,30.01,474,173,18
19.9,30.35,473,178,11
19.94,31.38,475,204,10
19.98,31.61,479,270,10
20.03,32.42,483,336,18
20.09,32.13,480,356,19
20.11,31.92,478,355,17
20.08,31.03,484,340,15
20.08,32.05,491,347,13
20.14,32.77,492,373,13
20.17,33.72,498,417,14
20.21,35.88,495,496,13
20.2,37.02,496,510,16
20.21,38.32,494,564,23
20.18,37.7,498,559,23
20.2,36.49,495,513,19
20.09,37.12,498,483,20
20.15,36.34,499,446,17
20.27,34.74,490,430,13
20.51,32.74,510,428,11
20.41,33.19,535,565,11
20.41,32.9,529,471,7
20.47,31.85,504,390,6
20.49,31.65,483,360,7
20.55,31.56,467,330,5
20.31,31.89,462,317,4
20.37,30.52,456,304,3
20.31,30.01,450,274,3
20.28,29.36,446,264,2
20.21,28.93,442,245,2
20.27,29.17,452,258,3
20.17,29.2,459,251,2
20.3,29.01,475,275,2
20.32,29.06,487,278,2
20.28,28.93,492,276,1
20.21,28.62,500,281,2
20.28,27.94,502,280,2
20.28,27.73,507,283,1
20.32,26.94,520,306,1
20.35,27.09,526,324,1
20.35,27.32,543,328,1
20.44,27.35,575,343,2
20.67,27.21,620,343,2
20.62,27.17,674,603,1
20.72,26.87,698,529,1
20.94,26.73,727,989,2
20.91,26.91,741,764,1
20.95,26.85,743,592,1
20.84,25.86,730,495,3
21.03,26.52,742,742,2
21.13,26.39,878,642,2
21.12,25.97,802,503,2
21.28,25.46,769,456,3
20.95,25.28,735,374,1
20.86,25.89,718,490,2
20.78,25.54,678,427,2
21.05,25.15,648,377,7
21.33,25.36,657,358,8
21.23,25.98,667,650,8
20.86,26.54,665,534,9
20.96,25.91,638,465,7
21.19,25.73,632,411,5
21.08,26.62,654,391,5
21.12,26.54,655,373,6
21.26,26.74,674,579,5
21.3,27.07,705,609,5
21.62,26.41,703,502,4
21.48,26.93,720,463,4
21.43,27.15,740,435,4
21.19,27.49,739,414,4
20.89,27.39,712,365,2
20.99,27.44,700,356,2
21.01,27.62,707,567,2
21.09,28.24,869,459,2
21.19,30.15,916,443,1
21.19,28.48,949,396,2
21.23,28.12,891,354,3
21.33,27.68,845,352,2
21.12,28.36,826,355,1
21.4,27.62,804,341,2
21.28,27.74,774,545,2
21.05,27.93,744,474,2
20.96,28.08,727,460,1
21.02,28.19,719,392,1
20.99,28.06,775,414,1
21.03,27.76,729,391,2
20.89,28.26,814,399,2
20.96,28.27,783,555,1
20.85,28.11,734,515,1
20.98,27.43,686,433,2
20.7,27.66,654,397,1
20.78,27.17,620,347,2
20.88,27.31,599,327,1
20.86,27.52,578,301,2
20.89,27.6,565,289,1
20.78,27.69,549,281,1
20.76,27.73,538,264,1
20.72,27.8,524,259,1
20.63,27.83,516,252,1
20.74,28.01,508,254,1
20.72,28.08,495,247,1
20.7,28.06,489,228,1
20.67,28.14,481,225,1
20.62,28.17,477,227,1
20.63,28.18,475,217,0
20.48,28.08,466,204,1
20.59,28.23,454,201,1
20.49,28.38,453,196,0
20.51,28.09,445,192,1
20.44,28.07,447,182,1
20.51,28.17,439,189,0
20.47,28.14,435,180,0
20.42,28.11,437,174,1
20.47,28.27,433,175,0
20.47,28.32,428,168,1
20.34,27.9,430,165,0
20.44,28.18,425,164,0
20.41,28.28,425,167,1
20.42,28.28,423,167,0
20.42,28.15,419,163,0
20.37,28.2,420,167,0
20.41,28.11,420,161,1
20.37,28.03,418,165,0
20.34,28.23,416,161,0
20.35,28.27,413,160,0
20.38,28.03,414,159,0
20.34,28.12,416,157,0
20.27,28.05,413,152,0
20.39,28.01,410,156,0
20.37,27.97,408,158,0
20.32,27.93,410,152,0
20.32,28.13,412,153,0
20.31,28.06,411,149,0
20.35,27.97,409,151,0
20.28,27.87,406,156,0
20.35,27.96,407,157,0
20.27,28.03,408,152,0
20.27,28.12,411,151,0
20.31,28.15,407,148,0
20.24,28.22,408,153,0
20.23,27.84,405,152,0
20.23,27.91,404,149,0
20.23,28.24,408,145,0
20.24,28.14,404,143,0
20.25,28.21,404,149,0
20.23,28.09,406,147,1
20.24,28.2,406,150,0
20.2,28.07,405,145,0
20.24,28.38,404,146,0
20.24,28.06,403,147,0
20.24,28.18,400,149,0
20.18,27.95,403,146,0
20.2,28.0,405,148,0
20.15,27.93,405,143,0
20.17,28.05,406,139,0
20.24,28.06,405,147,0
20.18,28.05,403,139,0
20.15,27.57,403,145,0
20.21,28.18,405,146,1
20.18,28.07,404,143,0
20.2,28.08,402,143,0
20.21,27.97,401,143,0
20.21,28.06,403,140,0
20.23,28.03,402,142,0
20.18,27.86,403,115,0
20.2,28.01,403,138,0
20.23,27.92,402,138,0
20.21,27.93,402,141,0
20.24,27.95,406,141,0
20.18,27.9,405,140,0
20.21,27.82,400,136,0
20.23,27.96,401,142,0
20.21,28.1,400,134,0
20.15,27.92,400,140,0
20.21,27.82,402,139,0
20.2,28.01,407,139,0
20.21,28.19,408,138,0
20.18,28.14,406,143,0
20.17,28.19,408,140,0
20.18,28.13,407,141,0
20.23,28.46,411,139,0
20.23,28.34,407,131,0
20.23,28.36,405,144,0
20.2,28.48,405,142,0
20.15,28.49,408,137,0
20.18,28.5,405,139,0
20.21,28.55,404,138,0
20.2,28.47,403,142,0
20.21,28.6,404,139,0
20.2,28.72,402,139,0
20.23,28.78,404,146,0
20.21,28.82,406,143,0
20.21,28.91,407,144,0
20.2,28.79,403,139,0
20.25,28.94,405,143,0
20.18,28.65,409,144,0
20.21,29.09,409,145,0
20.23,29.07,414,147,0
20.24,28.82,414,151,0
20.23,29.12,414,148,0
20.17,29.14,411,147,0
20.17,28.87,404,150,0
20.2,29.04,404,145,0
20.17,28.9,411,147,0
20.21,28.93,410,148,0
20.23,28.79,410,141,0
20.17,28.88,410,146,0
20.18,28.99,409,146,0
20.21,28.96,409,146,0
20.15,28.51,410,144,0
20.24,29.14,411,138,0
20.18,29.13,410,140,0
20.21,29.27,415,138,0
20.18,29.08,410,142,0
20.2,29.57,408,141,0
20.25,29.51,410,132,0
20.23,29.45,410,140,0
20.2,29.51,413,135,0
20.23,29.4,413,138,0
20.24,29.83,412,135,0
20.27,29.83,412,135,0
20.27,29.92,407,137,0
20.25,30.12,409,137,0
20.28,30.28,410,135,0
20.25,30.46,410,131,0
20.23,30.76,408,132,0
20.24,30.72,408,122,1
20.23,31.08,409,125,0
20.24,30.83,410,123,0
20.18,31.02,409,123,0
20.23,31.09,409,130,1
20.18,31.22,410,128,0
20.18,31.05,406,127,0
20.17,31.08,404,127,0
20.15,31.34,406,121,0
20.03,27.59,415,137,1
20.09,27.7,440,134,1
20.03,27.16,441,133,0
20.01,26.73,439,130,1
20.01,26.4,441,126,0
19.93,26.27,434,124,1
20.04,26.21,432,115,0
19.87,26.33,430,119,0
19.88,26.49,429,112,1
19.77,26.97,426,125,0
19.87,26.35,430,117,0
19.8,26.35,424,114,0
19.78,26.62,422,111,0
19.77,26.87,425,113,1
19.69,26.59,421,109,0
19.73,26.36,420,107,0
19.69,26.22,410,107,1
19.64,26.12,412,110,2
19.63,26.12,409,107,1
19.6,26.15,407,106,1
19.54,25.69,408,107,1
19.53,26.68,411,110,2
19.61,26.2,416,111,1
19.59,26.71,419,118,1
19.6,27.29,428,117,1
19.54,27.52,434,122,1
19.56,27.3,438,123,8
19.56,27.23,444,122,8
19.56,26.67,446,122,7
19.54,26.69,442,123,5
19.53,26.68,448,128,5
19.54,26.98,453,121,4
19.54,26.79,454,122,4
19.56,27.34,457,122,3
19.56,27.04,471,123,21
19.56,26.92,470,118,17
19.61,27.11,467,116,14
19.59,26.92,474,111,12
19.63,26.86,472,112,12
19.63,27.29,482,115,8
19.63,27.11,487,119,8
19.57,27.51,489,117,7
19.63,26.66,494,116,6
19.64,26.98,480,114,5
19.7,27.34,473,115,4
19.81,29.94,478,117,4
19.81,30.92,491,133,5
19.73,30.16,492,130,3
19.59,29.93,487,130,4
19.71,30.05,475,134,4
19.71,30.09,472,141,3
19.66,30.06,471,141,2
19.63,29.69,471,152,1
19.7,29.4,473,143,1
19.7,29.62,465,149,1
19.69,29.72,462,148,2
19.69,29.38,464,158,10
19.76,29.46,467,194,14
19.73,29.85,463,221,12
19.71,29.89,463,248,14
19.7,30.84,463,268,15
19.77,29.72,465,270,10
19.7,30.2,461,260,11
19.85,30.13,459,257,6
19.81,29.85,465,248,4
19.81,29.91,463,233,6
19.84,29.99,464,214,6
19.93,30.38,497,268,8
19.97,30.01,501,250,7
20.13,31.31,489,231,9
20.24,30.54,487,232,7
20.39,30.21,512,222,7
20.54,29.03,525,220,5
20.42,28.29,553,207,4
20.42,27.83,512,204,4
20.39,29.26,538,214,4
20.11,29.37,545,235,5
20.21,29.75,533,244,4
20.3,28.81,526,276,3
20.27,28.81,515,288,3
20.23,29.07,508,315,3
20.34,28.82,507,320,2
20.44,27.66,507,296,1
20.44,27.48,509,312,3
20.42,27.57,516,326,2
20.34,27.35,522,330,3
20.32,27.12,532,326,3
20.38,27.78,555,331,2
20.55,28.23,672,712,2
20.61,28.22,661,573,2
20.81,28.05,714,486,3
20.79,28.03,713,784,2
20.95,27.83,708,661,2
20.91,27.57,698,553,3
20.86,27.34,694,459,1
20.62,27.06,660,384,2
20.99,26.6,636,361,2
20.96,26.51,639,331,1
20.79,26.68,633,319,2
20.62,26.83,620,297,1
20.99,26.28,594,281,1
21.03,26.89,608,290,4
21.06,27.45,642,636,6
21.05,27.82,667,465,9
21.1,28.6,680,731,7
21.18,28.49,696,582,7
21.16,28.89,688,458,4
21.12,29.11,677,411,6
21.09,29.16,677,370,4
21.21,28.99,674,345,4
21.09,29.38,682,385,3
20.95,29.87,695,360,5
20.68,29.99,678,332,5
20.79,29.29,632,300,4
20.58,29.28,591,277,2
20.42,29.44,561,255,3
20.48,28.9,542,236,3
20.37,28.91,523,232,2
20.32,29.1,506,226,2
20.47,28.56,492,218,2
20.35,28.67,478,192,2
20.45,28.33,472,186,2
20.38,28.51,465,191,2
20.55,29.21,467,187,2
20.55,30.36,508,208,4
20.65,30.03,524,216,3
20.7,31.04,536,231,3
20.75,29.58,540,220,2
20.82,29.99,539,241,3
20.45,30.79,546,244,2
20.44,30.03,541,256,2
20.39,29.95,531,265,1
20.41,29.86,527,270,2
20.52,29.32,524,276,3
20.41,29.63,536,277,2
20.44,29.7,542,278,1
20.58,29.7,554,285,1
20.79,29.54,565,313,1
20.63,29.59,582,299,3
20.67,29.37,578,282,2
20.55,29.36,568,290,1
20.52,28.97,554,259,1
20.35,29.14,534,256,1
20.48,28.68,519,224,2
20.39,28.8,509,224,1
20.44,28.6,507,224,2
20.37,28.51,505,216,1
20.39,28.48,506,204,1
20.39,28.4,506,212,1
20.3,28.49,499,200,1
20.31,28.44,498,196,1
20.3,28.38,497,198,1
20.27,28.41,492,196,2
20.21,28.48,493,192,1
20.25,28.35,497,193,1
20.23,28.4,489,186,1
20.18,28.37,486,190,1
20.21,28.29,487,172,1
20.13,28.36,488,183,1
20.09,28.4,487,170,1
20.13,28.27,486,169,1
20.07,28.39,485,170,1
20.05,28.35,481,165,2
20.09,28.33,481,164,1
20.07,28.3,482,169,1
20.04,28.35,481,164,1
20.08,28.34,480,170,1
20.08,28.3,484,168,1
20.03,28.25,485,170,1
20.04,28.28,483,173,1
20.04,28.24,486,166,1
20.03,28.23,487,168,2
20.01,28.36,483,166,1
19.98,28.35,485,162,1
20.01,28.24,483,166,1
20.01,28.39,481,161,2
20.0,28.33,483,165,1
20.01,28.4,486,165,1
20.0,28.42,483,160,2
20.01,28.33,484,162,1
19.97,28.29,485,165,1
19.97,28.37,487,163,2
19.98,28.36,483,170,1
20.0,28.3,481,172,1
19.94,28.26,479,166,1
20.0,28.33,474,173,1
19.98,28.19,478,212,2
19.97,28.22,477,216,1
19.97,28.32,480,224,2
19.95,28.29,477,226,2
19.97,28.21,476,230,1
19.95,28.23,472,216,1
19.97,28.19,473,229,1
19.9,28.27,473,230,1
19.91,28.22,473,241,2
19.9,28.24,474,282,1
19.94,28.08,470,289,1
19.93,28.13,474,285,2
19.93,28.19,476,277,1
19.91,28.21,481,264,1
19.97,28.08,482,257,1
19.9,28.08,478,256,1
19.91,28.03,481,245,1
19.87,27.94,480,254,1
19.91,27.97,477,237,1
19.9,28.09,478,256,1
19.9,27.98,476,267,1
19.93,28.01,474,270,1
19.91,27.96,474,262,1
19.87,27.98,476,262,1
19.9,28.07,479,277,1
19.88,28.0,479,283,1
19.9,28.04,474,277,1
19.87,28.06,471,345,1
19.9,28.11,474,380,1
19.84,28.24,474,375,1
19.88,28.23,471,381,1
19.81,28.31,469,434,1
19.85,28.22,474,424,1
19.84,28.31,470,395,1
19.83,28.25,474,357,0
19.85,28.17,476,354,1
19.88,28.2,472,331,1
19.84,28.25,472,318,1
19.85,28.3,475,302,0
19.88,28.34,474,281,1
19.85,28.3,476,269,1
19.85,28.19,471,256,1
19.83,28.2,470,255,1
19.87,28.06,471,262,0
19.81,28.16,475,273,1
19.87,28.05,473,267,1
19.83,28.06,472,269,1
19.85,27.99,474,252,0
19.87,28.02,477,250,1
19.84,28.13,475,229,0
19.78,28.14,478,220,1
19.77,28.14,477,212,1
19.8,28.09,481,205,1
19.83,28.14,480,212,1
19.83,28.19,477,200,1
19.78,28.22,476,182,1
19.83,28.3,476,188,1
19.83,28.13,476,186,1
19.8,28.18,473,178,1
19.78,28.21,470,230,1
19.78,28.17,472,352,1
19.8,28.12,475,441,1
19.76,28.43,479,514,1
19.78,28.14,486,513,1
19.83,28.04,483,545,1
19.78,27.92,477,581,1
19.78,28.11,479,583,1
19.77,28.4,485,561,1
19.81,28.18,485,556,1
19.77,28.23,484,500,2
19.81,28.29,492,497,2
19.8,28.06,508,437,1
19.83,27.91,509,393,0
19.8,27.78,499,358,1
19.76,27.77,481,332,0
19.78,27.6,473,302,1
19.8,27.52,463,288,1
19.84,27.26,459,253,0
19.77,27.41,452,242,1
19.77,27.23,441,221,1
19.77,27.24,434,202,1
19.76,28.07,436,213,1
19.78,27.77,451,217,0
19.8,27.84,457,214,1
19.83,28.06,469,217,1
19.78,27.88,470,208,1
19.74,27.88,470,188,1
19.76,27.71,472,183,1
19.8,27.59,460,176,1
19.84,27.48,459,163,1
19.85,27.93,461,160,2
19.77,28.42,455,159,1
19.78,28.78,465,178,0
19.94,28.83,476,166,1
19.94,28.89,511,181,2
20.0,28.4,528,178,0
19.97,28.22,523,170,2
20.0,28.51,520,179,1
20.0,28.18,521,162,2
19.91,28.52,520,159,3
20.05,28.74,516,163,4
19.95,29.84,538,162,3
20.05,29.76,554,156,2
20.09,29.46,556,150,2
20.11,29.15,551,161,2
19.98,29.34,541,151,1
19.91,29.35,533,153,1
20.05,29.23,536,150,1
20.08,28.75,533,148,1
20.09,28.64,535,147,1
20.09,28.74,532,148,1
20.05,28.63,561,147,1
20.08,28.31,548,145,1
20.08,28.12,538,141,1
20.2,28.11,536,137,0
20.2,28.08,549,137,1
20.11,28.1,554,138,2
20.21,27.88,565,137,2
20.41,27.88,567,139,1
20.08,27.98,576,143,1
20.17,27.93,597,146,0
20.15,27.85,589,144,0
20.17,27.72,574,141,1
20.21,27.73,558,145,22
20.32,27.93,542,152,41
20.28,28.41,540,153,40
20.34,28.33,537,158,35
20.39,28.52,529,163,31
20.21,28.69,519,163,23
20.3,28.38,520,168,20
20.21,28.73,516,166,17
20.23,28.68,520,164,12
20.23,28.69,522,153,12
20.14,28.5,520,158,8
20.28,28.36,522,153,7
20.28,28.16,522,149,7
20.49,28.1,533,156,6
20.42,27.82,529,157,4
20.41,27.97,535,166,4
20.44,27.63,536,153,3
20.44,27.93,528,153,3
20.54,28.16,568,169,2
20.63,27.7,566,154,2
20.7,27.35,547,148,2
20.52,27.8,543,156,2
20.51,27.97,554,154,2
20.45,27.67,560,157,2
20.65,27.2,561,166,1
20.54,27.73,587,174,1
20.42,27.88,579,228,1
20.62,27.32,570,183,1
20.51,27.7,557,185,1
20.49,27.58,561,182,1
20.7,27.48,557,310,0
20.3,28.06,555,274,1
20.2,28.15,552,250,1
20.38,27.79,537,243,3
20.28,28.46,530,302,5
20.49,28.54,523,339,5
20.48,29.24,520,353,5
20.35,30.27,523,368,6
20.62,31.09,530,450,4
20.59,31.26,533,458,4
20.52,32.29,550,427,3
20.45,32.06,553,430,2
20.45,32.44,544,372,3
20.71,32.6,549,393,2
20.65,32.27,613,374,2
20.74,31.29,787,397,2
20.74,30.62,607,332,1
20.63,30.63,585,325,1
20.85,29.65,573,314,1
20.67,30.06,603,332,1
20.65,31.07,597,318,1
20.37,30.2,652,319,1
20.27,29.97,614,307,1
20.27,29.95,607,310,10
20.34,30.14,603,358,460
20.32,30.3,604,409,593
20.27,30.01,609,418,536
20.39,29.7,592,380,478
20.3,29.54,568,374,392
20.35,29.2,561,357,338
20.28,29.0,554,348,289
20.34,28.82,546,316,243
20.49,29.51,563,370,219
20.56,28.49,574,409,179
20.65,27.81,575,382,146
20.48,27.76,557,348,123
20.55,27.37,547,323,106
20.54,27.04,540,329,91
20.48,27.17,525,292,78
20.38,27.32,516,296,68
20.58,26.6,512,271,56
20.51,26.67,514,337,53
20.48,26.79,511,307,44
20.51,26.43,508,295,38
20.39,26.59,503,276,32
20.2,26.92,513,291,28
20.17,27.21,512,275,26
20.45,26.91,522,290,23
20.49,26.54,517,305,21
20.54,26.68,523,295,19
20.49,27.47,533,285,17
20.54,27.82,546,278,15
20.63,27.89,565,291,12
20.65,28.25,601,294,12
20.62,28.3,652,324,10
20.7,27.77,660,371,9
20.81,27.73,689,372,7
20.81,27.48,708,360,7
20.86,26.95,702,390,5
20.56,27.57,693,862,6
20.41,27.5,681,737,4
20.59,27.0,657,616,6
20.49,27.33,655,666,10
20.74,27.9,757,586,8
20.72,29.08,774,507,9
20.78,29.36,837,497,8
20.51,28.65,840,446,8
20.72,28.49,804,718,6
20.58,28.81,786,570,6
20.72,28.32,778,508,6
20.48,28.24,751,458,5
20.86,27.6,731,438,6
21.01,27.8,723,536,15
20.79,28.4,721,450,14
20.82,28.87,719,648,13
21.13,27.98,699,545,12
21.21,27.91,693,488,9
21.16,27.84,686,489,8
21.16,27.41,678,622,6
21.12,27.3,668,559,5
21.06,27.17,668,522,5
21.4,26.93,691,525,4
21.18,27.09,671,486,4
21.33,26.34,657,458,3
21.42,26.18,652,431,4
21.09,26.83,664,740,3
20.95,26.93,647,644,3
20.86,26.54,626,532,2
20.76,26.34,599,440,2
20.81,26.37,586,415,3
20.84,26.0,572,377,2
20.84,25.86,559,343,2
20.88,25.63,560,324,2
20.76,25.63,549,315,1
20.67,25.67,545,306,1
20.74,25.59,543,321,1
20.68,25.49,542,347,1
20.65,25.49,543,336,1
20.58,25.37,542,319,1
20.61,25.33,536,307,1
20.55,25.39,529,294,1
20.52,25.36,526,278,1
20.47,25.35,529,273,1
20.48,25.26,529,310,1
20.45,25.24,526,334,1
20.47,25.17,521,366,1
20.45,25.15,518,386,1
20.38,25.21,514,378,1
20.42,25.17,513,380,1
20.41,25.03,505,365,1
20.35,24.99,500,354,1
20.37,24.95,496,331,1
20.34,24.89,493,325,1
20.34,24.91,492,302,1
20.31,24.86,494,293,1
20.27,24.84,494,284,1
20.27,24.83,492,279,1
20.27,24.78,490,269,1
20.27,24.76,489,257,1
20.23,24.71,486,250,1
20.23,24.69,487,239,1
20.25,24.66,486,240,1
20.24,24.64,487,226,0
20.18,24.56,485,225,1
20.23,24.55,482,216,1
20.2,24.62,486,207,1
20.18,24.58,487,204,1
20.14,24.59,488,208,0
20.15,24.61,483,209,1
20.14,24.7,486,257,1
20.18,24.59,483,265,1
20.13,24.61,484,261,0
20.15,24.53,483,255,1
20.15,24.46,485,260,1
20.17,24.49,485,240,1
20.14,24.44,487,238,0
20.09,24.43,483,240,1
20.11,24.35,485,246,1
20.09,24.44,483,231,1
20.07,24.54,488,221,1
20.04,24.4,488,242,1
20.08,24.38,480,267,0
20.05,24.35,480,260,1
20.04,24.32,483,270,1
20.08,24.35,481,256,0
19.98,24.36,477,246,1
20.05,24.25,478,230,0
20.03,24.26,482,227,0
20.01,24.25,478,248,1
20.03,24.19,482,259,1
20.0,24.14,483,246,0
19.98,24.12,485,234,1
20.04,24.09,488,216,0
20.04,24.05,486,211,1
19.97,24.18,484,196,1
19.97,24.21,480,192,0
19.95,24.21,485,190,1
19.94,24.29,488,180,0
19.97,24.2,487,176,0
19.91,24.29,485,171,1
19.94,24.39,479,172,1
19.95,24.32,480,156,1
19.93,24.31,477,156,0
19.93,24.25,479,162,1
19.91,24.18,482,159,0
19.94,24.12,480,155,1
19.94,24.14,480,152,1
19.9,24.18,479,153,1
19.94,24.08,479,147,1
19.91,24.14,479,168,1
19.8,24.31,481,206,1
19.91,24.27,477,221,1
19.93,24.16,477,215,1
19.93,24.37,483,215,1
19.94,24.37,497,204,1
19.97,24.29,508,238,1
19.93,24.34,507,234,1
19.91,24.31,507,238,1
19.94,24.2,502,233,2
19.84,24.23,503,207,1
19.9,24.14,500,213,1
19.9,24.29,496,237,1
19.9,24.11,495,239,1
